Recipe,URL,Ingredients,Type
Slow Cooker Spring Beef and Vegetable Stew recipes,http://www.goodhousekeeping.com/food-recipes/a13784/spring-beef-and-vegetable-stew-recipe/, package frozen pearl onions can diced tomatoes medium carrots. . dry white wine. lb. lean beef stew meatkosher saltpepper tbsp. all-purpose flour oz. egg noodles . frozen peas tbsp. fresh tarragon,Meat dishes
Beef Cabbage Stew,http://www.myrecipes.com/recipe/beef-cabbage-stew-183376/,"  pound beef stew meat, cut into -inch pieces beef bouillon cubes cup hot water large onion, chopped teaspoon pepper bay leaf medium potatoes, peeled and cubed celery ribs, sliced cup shredded cabbage carrot, sliced -ounce can tomato sauceSalt to taste",Meat dishes
Baked Potato Snack,https://www.marthastewart.com/353269/baked-potato-snack," medium sweet potato, or baking potatoSalt and freshly ground black pepper",Meat dishes
Sweet potato crisps,http://www.bbcgoodfood.com/recipes/sweet-potato-crisps, small sweet potato tbsp olive oil,Meat dishes
Sweet Potato Smoothie,https://food52.com/recipes/55110-sweet-potato-smoothie," Sweet Potato for smoothie -  cup sweet potato, cooked Banana cup Ice cup Almond Milk teaspoon Cinnamon",Meat dishes
Crisp Potato Galettes,https://www.epicurious.com/recipes/food/views/crisp-potato-galettes-102282,Olive-oil cooking spray -ounce russet baking potato,Meat dishes
Homemade Potato Bread recipes,http://www.simplyrecipes.com/recipes/homemade_potato_bread/, large russet potato about   oz potato cups  ml milk teaspoons salt teaspoon sugar Tbsp olive oil packet instant yeast   teaspoons cups  all purpose flour,Meat dishes
Potato Bread,http://www.cookstr.com/recipes/potato-bread-james-beard," yeast cake or  package active dry yeast tablespoon sugar cup warm potato water cup butter  stick tablespoon salt cup warm potato water and  cup warm milk, or  cups warm potato water cup mashed potatoes to  cups unbleached or all purpose flour",Meat dishes
Potato Candy,http://www.myrecipes.com/recipe/potato-candy," cup peeled, cooked, and mashed russet potato, cold about  large potato tablespoon milk teaspoon vanilla extract teaspoon table salt to  cups powdered sugar cup creamy peanut butter",Meat dishes
Potato Chips,https://www.marthastewart.com/1004176/potato-chips,"Vegetable oil, for frying russet potato about  ouncesCoarse salt",Sauces and sides
Potato Hash,https://www.foodnetwork.com/recipes/ree-drummond/potato-hash-2774458," russet potato, scrubbed sweet potato, scrubbed tablespoons salted butter cup chopped red bell peppers cup chopped yellow squash cup chopped zucchini red onion, choppedSalt and freshly ground black pepper large eggs",Meat dishes
Fresh Potato Chips,http://www.thedailymeal.com/recipes/fresh-potato-chips-recipe,"Cooking spray large russet potato Tablespoon olive oilSalt and pepper, to taste",Chicken dishes
Kidney Beans And Rice Recipe,http://www.realsimple.com/food-recipes/browse-all-recipes/kidney-beans-and-rice-recipe-00000000028962/index.html," cup long-grain white rice tablespoons olive oil cloves garlic, chopped .-ounce can kidney beans, rinsed, or  heaping  cup dried kidney beans, soaked and cooked teaspoon Cajun seasoning or blackening spice mixkosher salt and black pepper scallions, sliced",Salads
Raajma curry (kidney beans),https://food52.com/recipes/75094-raajma-curry-kidney-beans," cups Kidney beans cup Onion, chopped cloves Garlic, minced tablespoons Grated ginger chopped Tomatoes teaspoon Whole black pepper Cloves small piece Cinnamon teaspoon Fennel seeds tablespoon Salt tablespoons Vegetable oil cups Water tablespoon Cumin seeds pieces Whole dry red pepper tablespoons Dry mango powder",Chicken dishes
Sweet potato jackets with guacamole & kidney beans,https://www.bbcgoodfood.com/recipes/sweet-potato-jackets-guacamole-kidney-beans," drop of rapeseed oil sweet potatoes large avocadojuice  lime, plus  wedges red chilli, deseeded and finely chopped tomatoes, finely chopped small pack coriander, leaves roughly chopped small red onion, finely chopped can red kidney beans in water, drained",Meat dishes
Veggie feijoada with sweet potato & kidney beans,http://www.jamieoliver.com/recipes/vegetable-recipes/veggie-feijoada-with-sweet-potato-kidney-beans/,  brown rice  sweet potato red onions cloves of garlic red pepper  courgetteolive oil    tin of kidney beans teaspoon ground coriander teaspoon smoked paprika  fresh coriander ripe tomatoes  fat-free natural yoghurt,Meat dishes
Red Kidney Bean Curry,http://smittenkitchen.com/2009/02/red-kidney-bean-curry/," cup extra virgin olive oil cup chopped fresh ginger  use half this; ' tepid in the fresh ginger department medium onion, finely chopped plum tomato, diced cloves garlic, chopped large green chili, chopped optional teaspoon salt teaspoon ground cumin teaspoon ground coriander teaspoon cumin seeds teaspoon ground tumeric teaspoon cayenne ounce can of tomato sauce or  ounces of one of your choice cups boiled red kidney beans or  ounces canned red kidney beans, undrained cup chopped fresh cilantro or parsley, if you're cilantro-averse",Salads
Scrambled Eggs With Kidney Beans and Cheddar,https://www.self.com/recipe/scrambled-eggs-with-kidney-beans-and-cheddar,"*  large eggs* Salt* Pepper* Nonstick cooking spray*  cup canned kidney beans, rinsed and drained*  ounce cheddar, grated",Meat dishes
Punjabi Curried Kidney Beans,http://www.cookstr.com/recipes/punjabi-curried-kidney-beans," cups   dried red kidney beans, cleaned and washed thoroughly medium yellow or red onion, peeled and roughly chopped medium tomatoes, diced -inch [ cm] piece ginger, peeled and chopped or grated cloves garlic, peeled and chopped or grated- green Thai, serrano, or cayenne chiles, stems removed, chopped whole cloves - inch [- cm] cinnamon stick tablespoon  mL cumin seeds tablespoon  mL red chile powder tablespoons  mL salt teaspoon  mL turmeric powder teaspoon  mL garam masala see Notes cups .  water cup   chopped fresh cilantro",Salads
Ghormeh Sabzi (Veal And Kidney Bean Stew),http://www.saveur.com/article/Recipes/Ghormeh-Sabzi,"Â¼ cup canola oil lb. veal shoulder, cut into   cubesKosher salt and freshly ground black pepper, to taste tbsp. ground turmeric large yellow onion, minced cups minced parsley1Â½ cups minced cilantro bunches scallions, minced cups dried kidney beans, soaked overnight, drained1Â½ tbsp. dried fenugreek dried black limesLavash or pita, for serving",Salads
'rajma' or kidney beans curry,https://food52.com/recipes/7179-rajma-or-kidney-beans-curry," cup Rajma or kidney beans medium onion, chopped large tomato, chopped- garlic cloves, finely chopped\\\"" piece of ginger, finely chopped green chilli, or to taste teaspoons cumin seeds teaspoon red chilli powder, or to taste teaspoon turmeric powder teaspoons coriander powder teaspoon garam masala optional tablespoons canola oilSalt, to tasteCilantro, for garnishing",Salads
Minestrone With Black-Eyed Peas And Kidney Beans,http://www.foodandwine.com/recipes/minestrone-with-black-eyed-peas-and-kidney-beans," tablespoons extra-virgin olive oil ounces pancetta, finely diced large onion, finely chopped celery ribs, thinly sliced garlic cloves, thinly sliced leek—white and tender green parts thinly sliced,  dark top reservedSalt and freshly ground pepper pound Savoy or other green cabbage, coarsely shreddedOne -ounce can diced tomatoes cup dried black-eyed peas quarts water parsley sprigs bay leaf thyme sprigsOne -ounce can red kidney beans, drained and rinsed ounces penne cup shredded basil cup plus  tablespoons grated Parmigiano-Reggiano cheese",Salads
Low Calorie Brown Rice,http://honestcooking.com/low-calorie-brown-rice-recipe/," cup raw brown rice cups vegetable broth, warm",Salads
Nutty Brown Rice,https://www.epicurious.com/recipes/food/views/nutty-brown-rice-350560," cups water  cups short-grain brown rice tablespoons unsalted butter  cups mixed nuts, chopped teaspoon grated nutmeg",Salads
Brown Rice Horchata,https://food52.com/recipes/76829-brown-rice-horchata, cup brown rice cups warm water -inch cinnamon stick cups cashew milk cup brown sugar teaspoon kosher salt,Salads
Brown-Rice Pudding,https://www.marthastewart.com/319136/brown-rice-pudding," cups short-grain brown rice cup plain soy milk cup organic maple syrup teaspoon pure vanilla extractCoarsely chopped walnuts, for garnishGround cinnamon, for garnish",Desserts and other sweets
Easy Brown Rice,http://www.eatingwell.com/recipe/259823/easy-brown-rice/, cups water or broth cup brown rice,Salads
Basic Brown Rice,http://www.cookstr.com/recipes/basic-brown-rice," cup brown rice cup water or broth teaspoon butter, rice bran oil, or olive oil to  teaspoon salt to taste",Salads
Brown Rice Pilaf,http://www.realsimple.com/food-recipes/browse-all-recipes/brown-rice-pilaf-00100000066731/index.html," tablespoon olive oil small onion, finely chopped cups brown rice  cups low-sodium chicken brothkosher salt tablespoons chopped fresh dill",Salads
Gingered Brown Rice,https://www.foodnetwork.com/recipes/tyler-florence/gingered-brown-rice-recipe-1949951," cups long-grain brown rice cups water-inch piece ginger, cut into coins teaspoon kosher salt",Salads
Perfectly Cooked Brown Rice,http://goop.com/recipes/perfectly-cooked-brown-rice/, cup short-grain brown rice  cup waterSea salt,Salads
Southern Brown Rice Pancakes,https://www.menshealth.com/recipes/southern-brown-rice-pancakes,"  cups milk  cups cooked short-grain brown rice tablespoons butter cup honey large eggs, separated  cups brown rice flour teaspoons baking powder teaspoon salt teaspoon cinnamonteaspoon nutmeg",Salads
Kidney Beans And Rice Recipe,http://www.realsimple.com/food-recipes/browse-all-recipes/kidney-beans-and-rice-recipe-00000000028962/index.html," cup long-grain white rice tablespoons olive oil cloves garlic, chopped .-ounce can kidney beans, rinsed, or  heaping  cup dried kidney beans, soaked and cooked teaspoon Cajun seasoning or blackening spice mixkosher salt and black pepper scallions, sliced",Salads
Raajma curry (kidney beans),https://food52.com/recipes/75094-raajma-curry-kidney-beans," cups Kidney beans cup Onion, chopped cloves Garlic, minced tablespoons Grated ginger chopped Tomatoes teaspoon Whole black pepper Cloves small piece Cinnamon teaspoon Fennel seeds tablespoon Salt tablespoons Vegetable oil cups Water tablespoon Cumin seeds pieces Whole dry red pepper tablespoons Dry mango powder",Chicken dishes
Sweet potato jackets with guacamole & kidney beans,https://www.bbcgoodfood.com/recipes/sweet-potato-jackets-guacamole-kidney-beans," drop of rapeseed oil sweet potatoes large avocadojuice  lime, plus  wedges red chilli, deseeded and finely chopped tomatoes, finely chopped small pack coriander, leaves roughly chopped small red onion, finely chopped can red kidney beans in water, drained",Meat dishes
Veggie feijoada with sweet potato & kidney beans,http://www.jamieoliver.com/recipes/vegetable-recipes/veggie-feijoada-with-sweet-potato-kidney-beans/,  brown rice  sweet potato red onions cloves of garlic red pepper  courgetteolive oil    tin of kidney beans teaspoon ground coriander teaspoon smoked paprika  fresh coriander ripe tomatoes  fat-free natural yoghurt,Meat dishes
Red Kidney Bean Curry,http://smittenkitchen.com/2009/02/red-kidney-bean-curry/," cup extra virgin olive oil cup chopped fresh ginger  use half this; ' tepid in the fresh ginger department medium onion, finely chopped plum tomato, diced cloves garlic, chopped large green chili, chopped optional teaspoon salt teaspoon ground cumin teaspoon ground coriander teaspoon cumin seeds teaspoon ground tumeric teaspoon cayenne ounce can of tomato sauce or  ounces of one of your choice cups boiled red kidney beans or  ounces canned red kidney beans, undrained cup chopped fresh cilantro or parsley, if you're cilantro-averse",Salads
Scrambled Eggs With Kidney Beans and Cheddar,https://www.self.com/recipe/scrambled-eggs-with-kidney-beans-and-cheddar,"*  large eggs* Salt* Pepper* Nonstick cooking spray*  cup canned kidney beans, rinsed and drained*  ounce cheddar, grated",Meat dishes
Punjabi Curried Kidney Beans,http://www.cookstr.com/recipes/punjabi-curried-kidney-beans," cups   dried red kidney beans, cleaned and washed thoroughly medium yellow or red onion, peeled and roughly chopped medium tomatoes, diced -inch [ cm] piece ginger, peeled and chopped or grated cloves garlic, peeled and chopped or grated- green Thai, serrano, or cayenne chiles, stems removed, chopped whole cloves - inch [- cm] cinnamon stick tablespoon  mL cumin seeds tablespoon  mL red chile powder tablespoons  mL salt teaspoon  mL turmeric powder teaspoon  mL garam masala see Notes cups .  water cup   chopped fresh cilantro",Salads
Ghormeh Sabzi (Veal And Kidney Bean Stew),http://www.saveur.com/article/Recipes/Ghormeh-Sabzi,"Â¼ cup canola oil lb. veal shoulder, cut into   cubesKosher salt and freshly ground black pepper, to taste tbsp. ground turmeric large yellow onion, minced cups minced parsley1Â½ cups minced cilantro bunches scallions, minced cups dried kidney beans, soaked overnight, drained1Â½ tbsp. dried fenugreek dried black limesLavash or pita, for serving",Salads
'rajma' or kidney beans curry,https://food52.com/recipes/7179-rajma-or-kidney-beans-curry," cup Rajma or kidney beans medium onion, chopped large tomato, chopped- garlic cloves, finely chopped\\\"" piece of ginger, finely chopped green chilli, or to taste teaspoons cumin seeds teaspoon red chilli powder, or to taste teaspoon turmeric powder teaspoons coriander powder teaspoon garam masala optional tablespoons canola oilSalt, to tasteCilantro, for garnishing",Salads
Minestrone With Black-Eyed Peas And Kidney Beans,http://www.foodandwine.com/recipes/minestrone-with-black-eyed-peas-and-kidney-beans," tablespoons extra-virgin olive oil ounces pancetta, finely diced large onion, finely chopped celery ribs, thinly sliced garlic cloves, thinly sliced leek—white and tender green parts thinly sliced,  dark top reservedSalt and freshly ground pepper pound Savoy or other green cabbage, coarsely shreddedOne -ounce can diced tomatoes cup dried black-eyed peas quarts water parsley sprigs bay leaf thyme sprigsOne -ounce can red kidney beans, drained and rinsed ounces penne cup shredded basil cup plus  tablespoons grated Parmigiano-Reggiano cheese",Salads
Celery Seed Vinaigrette,http://www.lottieanddoof.com/2009/11/celery-seed-vinaigrette/,"  Garlic Clove or small garlic clove tsp Celery Seeds, toasted tsp Honey tbsp Cider Vinegar cup Olive Oil tsp Kosher Salt",Desserts and other sweets
Winter slaw with warm celery seed dressing,https://www.bbcgoodfood.com/recipes/winter-slaw-warm-celery-seed-dressing," thick green bean , halved lengthways, then cut in  small head white cabbage , shredded small white onion , diced large carrots , shredded tbsp sunflower oil tbsp cider vinegar tbsp caster sugar tsp celery seeds tbsp wholegrain mustard",Desserts and other sweets
Citrus Salad with Chia-Celery Seed Dressing,http://www.eatingwell.com/recipe/277855/citrus-salad-with-chia-celery-seed-dressing/, tablespoons canola or grapeseed oil tablespoon white-wine vinegar tablespoon honey teaspoon celery seeds teaspoon chia seeds teaspoon kosher salt teaspoon ground pepper blood oranges ruby red or pink grapefruit navel orange cups arugula,Meat dishes
Radish Confetti,https://www.marthastewart.com/1151281/radish-confetti," large radishes, trimmed medium carrot, trimmed celery stalk, trimmed chives, cut into -inch lengths teaspoon celery seed",Chicken dishes
Refrigerator Radish Pickles,https://food52.com/recipes/6629-refrigerator-radish-pickles, pound radishes tablespoon kosher salt cup cider vinegar cups sugar teaspoon black pepper teaspoon celery seed,Chicken dishes
Pickled Grapes with Jicama and Celery Seed,https://www.foodnetwork.com/recipes/pickled-grapes-with-jicama-and-celery-seed-recipe-1914834," cup distilled white vinegar  cups cider vinegar cup white grape juice cup white sugar cup brown sugar teaspoon celery seed, bruised with  rolling pin teaspoon ground turmeric teaspoons yellow mustard seed, slightly crushed with  rolling pin whole cloves teaspoon saltPiece fresh ginger the size of your little finger, peeled and cut into rounds about the thickness of  dime red or green jalapeno peppers or other small chiles of your choice, thinly sliced cups mixed red and green seedless grapes medium jicama, peeled and cut into cubes about -inch thick about  cups",Desserts and other sweets
Green Asparagus Soup with Celery Seed Sour Cream and Toasted Hazelnuts,http://www.thedailymeal.com/recipes/green-asparagus-soup-celery-seed-sour-cream-and-toasted-hazelnuts-recipe," Pounds fresh asparagus, trimmed of woody ends spring onions, trimmed Cup fresh mint leaves Cups vegetable broth Cup heavy cream optional Teaspoon fine sea salt Teaspoon freshly ground white pepper Cup sour cream Teaspoon celery seed, lightly toastedSea salt and freshly ground black pepper, to taste  Teaspoon lightly toasted hazelnuts, papery husks removed and coarsely chopped Teaspoons chopped fresh chives",Meat dishes
Apple Rye Turnovers With Celery Seeds,http://www.foodandwine.com/recipes/apple-rye-turnovers-with-celery-seeds,"  cups plus  tablespoon all-purpose flour, plus more for dusting cup dark rye flourSalt sticks cold unsalted butter  ounces, cut into -inch pieces cup ice water Golden Delicious apples, peeled and cut into -inch dice cup plus  tablespoons granulated sugar teaspoon cinnamon teaspoon freshly grated nutmeg egg white, lightly beaten with  teaspoons of water cup turbinado sugar mixed with  teaspoons of celery seeds",Chicken dishes
Quick Coleslaw recipes,http://www.marthastewart.com/315551/quick-coleslaw, cups  ounces packaged coleslaw mix cup light mayonnaise tablespoon cider vinegar teaspoon celery seedcoarse saltground pepper,Chicken dishes
Cottage cheese and Radish Salad,https://food52.com/recipes/6652-cottage-cheese-and-radish-salad, ounces  cottage cheese radishes shallot teaspoon black pepper tablespoon celery seed tablespoon salt cup minced parsley,Sauces and sides
Green Beans,http://www.marthastewart.com/338543/green-beans," pound green beans, trimmed tablespoon butter, optionalCoarse salt and ground pepper",Salads
Sauteed Green Beans,https://www.epicurious.com/recipes/food/views/sauteed-green-beans-109121,"  lb green beans, stem ends trimmed tablespoon olive oil green-bean frencher optional",Salads
Caramelized Green Beans,http://www.saveur.com/article/Recipes/Caramelized-Green-Beans," stick  tbsp. unsalted, cultured butterlike Lescure Beurre des Charentes  lbs. green beans, trimmed",Salads
Sautéed Fresh Green Beans,http://www.eatingwell.com/recipe/261341/sauteed-fresh-green-beans/," teaspoons walnut oil pound green beans, trimmed",Salads
Fancy Green Beans,http://www.pbs.org/food/recipes/fancy-green-beans/," pound green beans, trimmed teaspoons vegan margarine teaspoons sesame seedsSea salt optionalFreshly ground pepper",Salads
French Green Beans,https://www.foodnetwork.com/recipes/danny-boome/french-green-beans-recipe-2013003, pound French green beans haricots vertsKosher Salt,Salads
Charred Green Beans,https://www.menshealth.com/recipes/charred-green-beans, pound of fresh green beans tbsp extra-virgin olive oil,Salads
Skillet Green Beans,http://www.goodhousekeeping.com/food-recipes/a15674/skillet-green-beans-recipe-clx1113/, lb. green beans tbsp. soy sauce tsp. sesame oil,Salads
Green Beans,http://www.marthastewart.com/340234/green-beans,"Coarse salt and freshly ground black pepper pound green beans, trimmed tablespoons butter",Salads
Green Beans Gremolata,http://www.delish.com/cooking/recipe-ideas/recipes/a36319/green-beans-gremolata-recipe-ghk1113/, lb. French green beans haricots verts or regular green beans . finely chopped fresh flat-leaf parsley leaves . freshly grated Parmesan cheese . toasted pine nuts tbsp. grated lemon peel tsp. finely chopped garlic . olive oilkosher saltBlack pepper,Salads
red pepper soup,https://smittenkitchen.com/2007/07/at-last-this-soup/," tablespoons olive oil  cup sliced onions large cloves garlic, crushed cup dry white wine large red bell peppers, cut into -inch pieces cups chicken or vegetable stock or broth tablespoons chopped fresh thyme to  teaspoon hot red pepper flakesSalt and white or black pepperCrème fraîche for garnishThyme sprigs for garnish.",Chicken dishes
Red pepper linguine,https://www.bbcgoodfood.com/recipes/red-pepper-linguine," roasted red pepper from  jar or roast one yourself30ml olive oil walnuts , toasted, plus extra to serve small garlic clove linguine or spaghettiparmesan or vegetarian alternative, grated, to serve",Chicken dishes
Roasted Red Pepper Labneh,http://www.bonappetit.com/recipe/roasted-red-pepper-labneh, whole roasted red pepper from  jar teaspoon fresh lemon juice teaspoon honey cups labneh Lebanese strained yogurtKosher salt,Chicken dishes
Roasted red pepper bruschetta,http://www.bbc.co.uk/food/recipes/roastedredpepperbrus_81864," red pepper, rubbed with sea salt and olive oil slices crusty white baguette, drizzled with olive oil and griddled2oz anchovies, chopped1oz pine nuts tsp sesame seeds",Chicken dishes
Red Pepper Jam,http://honestcooking.com/red-pepper-jam/," cup  stick unsalted butter cups yellow onions, chopped teaspoon salt teaspoon coarse ground black pepper teaspoons crushed red pepper flakes tablespoons granulated sugar tablespoons apple cider vinegar tablespoon fresh lemon juice cups chopped red bell pepper cup chicken stock",Chicken dishes
Roasted Red Pepper Sauce,https://www.marthastewart.com/1154832/roasted-red-pepper-sauce," red bell peppers small clove garlic, peeled teaspoon freshly squeezed lemon juice teaspoon cumin teaspoon red-pepper flakes teaspoon salt teaspoon freshly ground black pepper",Chicken dishes
Roasted Red Pepper Mayonnaise,http://www.joythebaker.com/blog/2009/05/roasted-red-pepper-mayonnaise-on-the-best-blt/," large egg yolk teaspoon Dijon mustard teaspoon lemon juicesalt and pepper to taste roasted red pepper, coarsely chopped   used the jarred variety. Easy! cup canola or grapeseed oil",Chicken dishes
Red Pepper Relish,http://www.delish.com/cooking/recipe-ideas/recipes/a33861/red-pepper-relish-recipe-122268/," red bell peppers, cored large onion . each sugar and cider vinegar tsp. salt tsp. crushed red pepper flakes",Chicken dishes
Red-Pepper Taffy,https://www.menshealth.com/recipes/red-pepper-taffy, cup sugar cup light corn syrup cup water tablespoon cornstarch tablespoons butter teaspoon salt teaspoons butter-flavored sprinkles teaspoon ground red pepper,Chicken dishes
Easy Red Pepper Jelly Spread,http://www.thedailymeal.com/recipes/easy-red-pepper-jelly-spread-recipe," package eight ounces cream cheese, such as PHILADELPHIA cream cheese Cup red pepper jelly",Chicken dishes
Eggplant Dip,https://food52.com/recipes/6665-eggplant-dip," small eggplant garlic cloves, skin on, if possibleSalt and pepper to taste tablespoons olive oil tablespoon sesame seedsJuice from  lemon",Sauces and sides
Hoisin-Glazed Eggplant recipes,http://www.marthastewart.com/317065/hoisin-glazed-eggplant," cup hoisin sauce tablespoons canola oil baby eggplants   pounds or  large eggplant, cut lengthwise into -inch-thick slices and scoredsalt",Meat dishes
Grilled Eggplant,http://www.eatingwell.com/recipe/274596/grilled-eggplant/," small or  large eggplant about - pounds total, sliced into -inch-thick rounds tablespoons extra-virgin olive oil teaspoon salt",Meat dishes
Spicy Eggplant,http://www.pbs.org/food/recipes/spicy-eggplant/," jalapeno pepper red cherry pepper sweet peppers red, green, and purple cups chopped kale large tomato red onion black beauty eggplant small white asian eggplant cup extra virgin olive oil lemon juice and zestSalt and pepper to taste",Sauces and sides
Fried Eggplant,http://www.cookstr.com/recipes/fried-eggplant," to  cups extra virgin olive oil, for deep-frying large eggs cup dried bread crumbs large eggplant, cut into -inch-long, -inch-thick sticks with the skinCoarse sea salt",Sauces and sides
Campanelle with Eggplant Caviar,http://www.frenchrevolutionfood.com/2011/08/french-in-a-flash-campanelle-with-eggplant-caviar/," pounds eggplant about  large eggplantKosher salt head garlic tablespoons olive oil, divided, plus more for garnish teaspoons white wine vinegar leaves basil, plus more for garnish pinch of chili flakesFreshly cracked black pepper pound campanelle pasta cup pine nuts, toasted",Meat dishes
Eggplant Parmigiana,https://www.foodnetwork.com/recipes/eggplant-parmigiana-recipe1-2203688, eggplant plum tomatoes clove garlic tablespoon olive oil teaspoon capers tablespoon grated Parmesan basil leaves,Meat dishes
Eggplant Hummus,http://www.delish.com/cooking/recipe-ideas/recipes/a31298/eggplant-hummus-recipe-ghk0511/, eggplant can chickpeas tbsp. fresh lemon juice tbsp. tahini clove garlic tsp. salt tsp. Pepper,Meat dishes
Baked Eggplant Fries,http://www.myrecipes.com/recipe/baked-eggplant-fries-189630/, eggplant cup flour tablespoon garlic powder teaspoon salt cup olive oil,Meat dishes
Eggplant Hummus recipes,http://www.goodhousekeeping.com/food-recipes/a10861/eggplant-hummus-recipe-ghk0511/, eggplant can chickpeas tbsp. fresh lemon juice tbsp. tahini clove garlic. tsp. salt. tsp. pepper,Meat dishes
Marjoram-Roasted Potatoes,https://www.marthastewart.com/1154116/marjoram-roasted-potatoes, pounds potatoes tablespoons canola oil teaspoon dried marjoram teaspoon saltPepper to taste,Salads
Grilled courgettes with chickpeas & marjoram,http://www.jamieoliver.com/recipes/vegetables-recipes/grilled-courgettes-with-chickpeas-marjoram/,  dried chickpeas courgettes- tablespoons extra virgin olive oil  goat\\\' cheese few sprigs of fresh marjoram lemon,Chicken dishes
Baked Ham with Mustard and Marjoram,https://www.epicurious.com/recipes/food/views/baked-ham-with-mustard-and-marjoram-5831,"  cups whole-grain Dijon mustard cup packed golden brown sugar tablespoons dried marjoram tablespoons minced garlic tablespoons frozen orange juice concentrate, thawed teaspoon ground black pepper - to -pound fully cooked bone-in ham shank or butt end  cups Madeira cup orange juice tablespoons chopped fresh marjoram or  teaspoons dried",Chicken dishes
"Halibut with hazelnuts, marjoram and vermouth",https://food52.com/recipes/13712-halibut-with-hazelnuts-marjoram-and-vermouth," filets of halibutExtra virgin olive oilSalt and pepper teaspoons dried marjoram teaspoon lemon zest tablespoons crushed hazelnuts roma tomato, sliced small onion, halved and sliced teaspoons vermouth",Chicken dishes
Summer Succotash With Marjoram,http://www.bonappetit.com/recipes/2002/08/summer_succotash_with_majoram," tablespoons butter tablespoons olive oil large onion, chopped red bell pepper, cut into -inch pieces green bell pepper, cut into -inch pieces garlic clove, minced cups fresh corn kernels from about  ears medium-size zucchini, trimmed, cut into -inch pieces medium-size yellow crookneck squash, trimmed, cut into -inch pieces -ounce package frozen baby lima beans, thawed tablespoons chopped fresh Italian parsley tablespoon chopped fresh marjoram",Chicken dishes
Fresh Tomato Salsa with Marjoram,http://www.eatingwell.com/recipe/274144/fresh-tomato-salsa-with-marjoram/," clove garlic, minced teaspoon kosher salt cups diced tomatoes about  medium tablespoons finely chopped white onion teaspoons finely chopped fresh marjoramGround pepper to taste",Chicken dishes
Lemon And Marjoram Chicken,http://www.donnahay.com.au/recipes/mains/poultry/lemon-and-marjoram-chicken,"   chicken breast fillets on the bone, skin on tablespoons lemon juice cup 60ml olive oil tablespoon chopped marjoram leavessea salt flakes  asparagus, trimmed tablespoons olive oil, extra tablespoon white wine vinegarshaved parmesan, to serve",Chicken dishes
Wine-Baked Chicken Legs with Marjoram recipes,http://www.foodandwine.com/recipes/wine-baked-chicken-legs-marjoram," large shallots, thinly sliced bay leaf whole chicken legs cups dry white winesaltfreshly ground pepper cup heavy cream tablespoons cold unsalted butter, cut into tablespoons tablespoons chopped marjoram, plus  tablespoon marjoram leaves for garnish",Chicken dishes
Corn Chowder with Marjoram,http://www.cookstr.com/recipes/corn-chowder-with-marjoram," ears sweet corn, husked small onions carrots rib celery fresh or dried bay leaves tablespoon extra virgin olive oil tablespoons unsalted butterKosher salt pound all-purpose potatoes, such as Yukon Gold, Kennebec, or Yellow Finn sprigs fresh marjoramCrème fraîche, for serving",Chicken dishes
Crispy Parmesan-Marjoram Toasts,https://www.marthastewart.com/316096/crispy-parmesan-marjoram-toasts,"Four -inch-thick slices country bread cup freshly grated Parmesan  tablespoons fresh marjoram, finely chopped teaspoon freshly ground pepper",Sauces and sides
Thyme Oil,http://www.cookstr.com/recipes/thyme-oil, cup canola oil bunch of fresh thyme,Sauces and sides
Zucchini With Thyme,http://simplyrecipes.com/recipes/zucchini_with_thyme/," Tbsp olive oil  Tbsp unsalted butter cup finely chopped onion cup chopped fresh parsley pound fresh zucchini, cut into -by--inch sticks beef bouillon cube, crumbled use vegetarian bouillon for vegetarian option teaspoon dried thyme or  Tbsp fresh thyme, choppedSalt and freshly ground pepper",Meat dishes
Honey and Thyme Ice Cream with Candied Thyme,https://www.epicurious.com/recipes/food/views/honey-and-thyme-ice-cream-with-candied-thyme-236890, cups heavy whipping cream cup whole milk large fresh thyme sprigs   -inch strips lemon peel yellow part only large eggs cup sugar cup honey teaspoon vanilla extract large egg whiteSugar large fresh thyme sprigs,Meat dishes
Carrots with Thyme,http://www.pbs.org/food/recipes/carrots-with-thyme/,  lbs. carrots tablespoon butter sprigs thyme cup waterCoarse salt and ground pepper,Meat dishes
Recess Thyme,https://www.latimes.com/recipe/recess-thyme," ounces lemonade ounces agave wine or tequila ounce muddled fresh berries ounce thyme simple syrupAbout  ounce lemon-lime soda, preferably Sprite thyme sprig fresh blueberries for garnish fresh strawberries for garnish slice orange for garnish",Meat dishes
Lemon-Thyme Carrot Soup,http://www.eatingwell.com/recipe/268979/lemon-thyme-carrot-soup/," cups reduced-sodium chicken broth cups -inch carrot slices leeks, sliced  cup bay leaf tablespoons lemon juice to  tablespoons chopped fresh lemon thyme or thyme, or  to  teaspoons dried thyme, crushed teaspoon chopped fresh savory optional teaspoon salt teaspoon freshly ground pepper lemon, thinly sliced optionalFresh lemon thyme or thyme sprigs optional",Chicken dishes
Thyme Biscuits with Honey-Thyme Butter,http://www.delish.com/cooking/recipe-ideas/recipes/a34876/thyme-biscuits-honey-thyme-butter-recipe-wdy1112/, . unsalted butter tbsp. honey tbsp. fresh thyme leaves tsp. fresh thyme leaves . self-rising flour tsp. Black pepper . lemon-lime soda such as Sprite . heavy cream,Sauces and sides
